R,F,M,Cluster
0.4176646706586827,0.0,0.0020162414685101692,3
0.014970059880239523,0.036036036036036036,0.02853196171715135,2
0.45359281437125754,0.009009009009009009,0.011715649894683556,3
0.44910179640718567,0.009009009009009009,0.009279000630611694,3
0.4011976047904192,0.009009009009009009,0.011355300355630676,3
0.6347305389221557,0.0,0.005795621753100506,0
0.19910179640718562,0.01801801801801802,0.01794883894520542,2
0.34431137724550903,0.0,0.005795621753100506,3
0.33982035928143717,0.01801801801801802,0.002694041791966779,3
0.17365269461077845,0.036036036036036036,0.02272776021312101,2
0.10928143712574852,0.0,0.0005190749312547456,2
0.3038922155688623,0.0,0.0005834230632284744,3
0.3083832335329342,0.009009009009009009,0.015181869270335081,3
0.9925149700598803,0.0,0.004113990570853728,1
0.1062874251497006,0.06306306306306306,0.049071885443165576,2
0.02844311377245509,0.036036036036036036,0.0736871908608493,2
0.17365269461077845,0.0,0.0018403565744486436,2
0.35179640718562877,0.0,0.004122570321783558,3
0.09431137724550899,0.09009009009009009,0.159857919324602,2
